id,KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate,RankEncoded,HeadshotRate,Rank
3570,1.03,16.9,16.5,4.6,47.1,5.9,241.0,0.1,13,67.578,platinum_1
3582,1.02,15.1,14.9,9.8,52.2,14.2,210.0,0.2,12,61.989,gold_3
3587,0.94,14.5,15.3,7.7,49.3,14.7,198.0,0.1,10,61.994,gold_1
3641,1.08,15.8,14.6,7.4,51.1,5.3,210.0,0.2,12,61.989,gold_3
3684,1.1,17.1,15.6,5.0,51.0,0.7,228.0,0.1,12,61.989,gold_3
3740,1.0,14.8,14.8,9.5,53.4,2.3,208.0,0.1,10,61.994,gold_1
3751,1.02,15.1,14.8,4.5,49.0,9.5,202.0,0.1,10,61.994,gold_1
3773,0.96,14.7,15.4,7.8,47.4,1.7,202.0,0.1,10,61.994,gold_1
3788,1.06,17.5,16.4,3.6,48.8,11.1,238.0,0.1,13,67.578,platinum_1
3799,0.99,14.8,15.0,7.6,56.0,3.2,199.0,0.2,10,61.994,gold_1
3833,1.01,15.2,15.1,6.0,47.3,10.8,209.0,0.1,11,66.234,gold_2
3915,0.93,14.9,15.9,10.0,44.2,2.1,207.0,0.1,11,66.234,gold_2
3937,0.98,16.1,16.4,6.4,29.4,0.3,213.0,0.1,11,66.234,gold_2
3964,1.0,14.7,14.8,7.8,54.3,16.1,204.0,0.1,10,61.994,gold_1
3990,1.03,14.8,14.4,7.3,46.5,10.6,202.0,0.2,10,61.994,gold_1
3992,1.03,16.6,16.2,3.3,45.8,15.5,229.0,0.1,12,61.989,gold_3
3993,0.92,14.7,16.0,10.0,36.9,2.4,208.0,0.1,11,66.234,gold_2
4014,0.96,14.8,15.4,6.4,47.9,5.0,202.0,0.1,10,61.994,gold_1
4016,0.88,14.4,16.2,10.0,46.8,1.9,202.0,0.1,10,61.994,gold_1
4032,0.9,14.4,16.1,9.4,37.5,1.0,205.0,0.2,11,66.234,gold_2
4037,0.4,7.2,17.8,6.0,0.0,0.3,135.0,0.1,7,62.625,silver_1
4072,1.0,16.1,16.2,5.9,40.5,3.0,216.0,0.1,11,66.234,gold_2
4078,1.06,16.0,15.1,2.5,46.1,11.7,296.0,0.2,16,72.558,diamond_1
4088,1.03,19.0,18.4,4.7,39.8,4.4,518.0,0.1,21,76.287,ascendant_3
4091,0.95,17.7,18.7,3.3,37.3,4.0,564.0,0.1,22,85.93,immortal_1
4119,0.76,10.7,14.2,6.3,51.2,2.8,162.0,0.1,8,57.784,silver_2
4130,0.77,10.9,14.2,4.4,48.0,4.5,163.0,0.1,8,57.784,silver_2
4169,1.0,5.5,5.5,1.7,58.8,15.2,225.0,0.1,12,61.989,gold_3
4179,1.09,6.2,5.6,2.9,60.0,6.8,218.0,0.1,12,61.989,gold_3
4235,1.04,17.4,16.7,3.4,44.3,5.7,425.0,0.1,19,71.37,ascendant_1
4255,1.02,15.8,15.5,11.3,58.3,2.6,218.0,0.2,12,61.989,gold_3
4306,1.1,16.5,15.1,7.7,41.9,3.9,219.0,0.1,11,66.234,gold_2
4323,1.09,16.5,15.2,4.3,38.3,5.6,224.0,0.1,13,67.578,platinum_1
4365,1.11,16.5,14.9,4.9,57.1,15.9,236.0,0.1,12,61.989,gold_3
4401,1.06,19.0,18.0,10.0,100.0,1.7,210.0,0.2,12,61.989,gold_3
4419,0.87,12.7,14.6,4.3,25.0,8.2,194.0,0.1,11,66.234,gold_2
4479,0.492,11.917,9.173,5.298,64.192,13.398,87.379,0.231,4,53.409,bronze_1
4524,0.859,9.187,10.973,4.9,64.866,2.048,114.698,0.135,6,41.191,bronze_3
4532,0.467,12.329,8.875,3.811,45.274,1.397,34.308,0.074,1,27.161,iron_1
4586,0.622,16.803,6.331,6.072,43.012,4.623,380.856,0.045,18,77.2,diamond_3
4603,0.606,6.96,13.891,5.216,58.186,3.05,168.804,0.123,8,57.784,silver_2
4612,0.657,8.984,9.877,3.154,55.617,1.899,255.331,0.077,14,70.726,platinum_2
4742,0.724,5.056,10.865,3.241,36.827,2.759,162.123,0.215,9,65.154,silver_3
4808,0.476,8.188,5.189,2.863,26.701,2.06,135.785,0.093,7,62.625,silver_1
4946,0.397,19.308,7.2,2.61,95.77,6.827,64.482,0.211,2,43.59,iron_2
4983,0.61,31.781,6.15,9.113,41.828,1.265,81.91,0.102,3,34.267,iron_3
4994,0.398,33.8,12.875,10.317,28.53,0.982,57.257,0.401,3,34.267,iron_3
4995,0.362,39.884,15.579,11.039,22.253,1.228,60.12,0.441,3,34.267,iron_3
5027,0.603,8.287,16.689,1.844,20.084,1.278,224.188,0.069,13,67.578,platinum_1
5045,0.827,8.21,19.487,3.155,14.469,10.83,394.971,0.067,19,71.37,ascendant_1
5073,0.384,9.376,27.418,0.826,8.712,6.944,109.145,0.106,5,63.014,bronze_2
5091,0.41,5.988,5.924,3.963,14.832,2.107,106.682,0.023,5,63.014,bronze_2
5094,0.319,4.35,9.298,2.733,16.959,2.386,67.048,0.023,3,34.267,iron_3
5105,0.233,6.138,19.309,3.317,32.011,2.607,100.789,0.111,5,63.014,bronze_2
5107,0.241,4.452,19.367,4.798,21.787,2.271,79.825,0.08,3,34.267,iron_3
5150,0.197,10.858,14.123,1.466,23.418,2.54,282.532,0.033,15,75.409,platinum_3
5174,0.468,7.249,30.695,1.739,42.072,0.968,69.791,0.099,3,34.267,iron_3
5196,0.218,9.34,2.984,0.76,25.73,0.219,62.449,0.07,3,34.267,iron_3
5230,0.801,8.046,16.478,5.932,18.932,2.579,459.08,0.162,20,77.453,ascendant_2
5261,0.608,10.687,9.107,6.809,62.138,0.386,174.378,0.144,10,61.994,gold_1
5311,0.814,5.919,6.891,3.495,42.312,6.219,325.511,0.074,16,72.558,diamond_1
5312,0.716,7.517,5.306,4.404,48.659,4.789,231.113,0.064,12,61.989,gold_3
5331,0.359,3.616,25.249,1.338,39.295,0.728,25.505,0.12,1,27.161,iron_1
5414,0.133,19.711,5.472,3.517,40.118,2.429,33.974,0.072,1,27.161,iron_1
5458,0.637,8.954,11.076,4.218,33.938,6.322,164.71,0.125,9,65.154,silver_3
5468,0.595,12.067,6.337,4.815,12.587,7.925,252.629,0.12,13,67.578,platinum_1
5469,0.756,13.636,5.26,5.585,13.468,5.627,181.893,0.138,9,65.154,silver_3
5478,0.574,10.815,12.728,7.665,33.725,2.15,133.56,0.124,7,62.625,silver_1
5505,0.382,8.67,8.796,2.597,26.069,6.44,156.358,0.105,9,65.154,silver_3
5510,0.205,4.752,6.732,1.089,51.557,7.795,196.769,0.129,10,61.994,gold_1
5512,0.169,3.713,8.516,0.619,59.115,5.729,150.882,0.114,8,57.784,silver_2
5527,0.644,21.891,8.033,12.295,33.269,10.455,631.336,0.048,22,85.93,immortal_1
5564,0.417,16.373,12.858,1.345,37.731,4.569,511.781,0.047,21,76.287,ascendant_3
5604,0.774,14.051,27.065,1.909,73.981,3.44,50.867,0.046,2,43.59,iron_2
5608,0.752,12.941,11.431,2.363,58.268,2.744,67.561,0.039,2,43.59,iron_2
5620,0.638,9.566,13.893,4.443,30.608,1.215,183.272,0.063,9,65.154,silver_3
5644,0.829,15.992,7.256,6.628,37.721,3.59,97.275,0.057,5,63.014,bronze_2
5694,0.449,8.763,9.573,3.118,19.371,0.247,70.707,0.191,3,34.267,iron_3
5723,0.868,19.323,9.005,6.948,88.638,3.376,82.718,0.107,4,53.409,bronze_1
5726,0.639,13.51,11.145,7.847,98.934,3.044,93.172,0.082,4,53.409,bronze_1
5727,0.741,15.401,8.247,9.809,81.126,2.283,117.397,0.1,6,41.191,bronze_3
5729,0.69,15.912,6.734,5.085,58.849,2.21,158.275,0.152,8,57.784,silver_2
5758,0.672,8.816,17.802,5.166,44.528,3.072,199.92,0.248,11,66.234,gold_2
5786,0.414,3.123,5.465,1.23,41.506,1.555,306.212,0.056,16,72.558,diamond_1
5795,0.626,2.074,1.206,2.737,13.255,3.498,168.031,0.039,9,65.154,silver_3
5816,0.676,0.953,2.159,0.779,80.911,7.896,82.611,0.353,4,53.409,bronze_1
5848,0.372,12.35,39.319,4.643,16.182,0.808,210.087,0.04,11,66.234,gold_2
5873,0.437,16.295,21.071,12.441,21.462,10.002,45.854,0.033,1,27.161,iron_1
5877,0.237,21.813,34.026,19.732,11.246,11.331,65.858,0.058,3,34.267,iron_3
5912,0.867,11.499,24.769,8.965,57.504,21.149,105.686,0.12,6,41.191,bronze_3
5917,0.619,9.51,13.685,11.131,70.956,18.189,81.843,0.092,4,53.409,bronze_1
5924,0.66,6.186,4.855,5.311,96.556,3.737,275.316,0.19,14,70.726,platinum_2
6044,0.755,18.407,9.578,1.242,33.683,1.185,109.73,0.17,5,63.014,bronze_2
6078,0.854,11.536,12.354,8.96,64.26,1.944,149.46,0.119,8,57.784,silver_2
6087,0.675,4.958,5.645,2.598,19.883,1.265,192.741,0.253,11,66.234,gold_2
6098,0.511,8.084,17.544,5.886,39.039,10.585,152.64,0.105,9,65.154,silver_3
6127,0.332,23.56,7.476,3.023,15.443,4.357,270.502,0.053,15,75.409,platinum_3
6186,0.61,6.846,17.096,7.287,50.63,14.637,587.103,0.034,22,85.93,immortal_1
6241,0.52,11.021,11.132,2.95,26.67,4.087,88.049,0.123,3,34.267,iron_3
6281,0.764,6.451,19.455,4.85,94.137,4.433,153.644,0.061,8,57.784,silver_2
6339,0.789,16.298,9.048,3.466,44.888,5.968,191.688,0.074,10,61.994,gold_1
6342,0.647,19.354,8.929,3.398,21.462,4.115,359.372,0.087,18,77.2,diamond_3
6373,0.379,5.562,5.338,2.161,38.335,4.489,61.549,0.035,3,34.267,iron_3
6409,0.158,6.885,11.927,8.798,40.633,2.435,126.673,0.219,7,62.625,silver_1
6461,0.991,11.438,12.462,4.679,55.63,0.462,159.913,0.392,8,57.784,silver_2
6481,0.302,11.995,10.605,7.214,33.408,1.804,96.127,0.159,5,63.014,bronze_2
6511,0.228,12.238,31.773,4.381,18.997,2.725,216.077,0.229,11,66.234,gold_2
6529,0.36,2.585,31.979,5.272,31.73,6.772,86.098,0.152,3,34.267,iron_3
6593,0.525,4.892,20.626,6.962,15.564,5.576,45.781,0.077,1,27.161,iron_1
6595,0.315,7.219,15.922,9.013,8.753,7.798,62.702,0.076,3,34.267,iron_3
6605,0.269,9.463,14.72,3.856,86.734,2.074,152.874,0.239,8,57.784,silver_2
6664,0.505,17.051,30.929,3.619,28.435,3.622,167.754,0.054,9,65.154,silver_3
6699,0.862,5.939,14.43,4.736,69.264,0.802,128.677,0.177,6,41.191,bronze_3
6735,0.136,4.803,7.146,6.525,61.49,4.425,429.218,0.058,19,71.37,ascendant_1
6772,0.245,10.675,16.112,1.005,21.232,1.395,119.377,0.16,5,63.014,bronze_2
6792,0.234,2.924,2.496,4.482,42.707,5.904,417.061,0.069,19,71.37,ascendant_1
6804,0.85,3.86,18.948,1.615,57.157,2.378,283.845,0.081,14,70.726,platinum_2
6905,0.365,12.188,7.033,4.465,59.593,7.945,105.414,0.104,6,41.191,bronze_3
6955,0.265,47.505,3.165,4.65,84.305,1.366,40.623,0.443,2,43.59,iron_2
6965,0.471,7.142,12.487,8.175,27.731,5.78,152.021,0.201,9,65.154,silver_3
6983,0.41,12.201,12.487,5.095,13.674,3.637,267.256,0.151,15,75.409,platinum_3
7057,0.409,13.829,8.401,1.075,31.735,0.801,163.86,0.052,9,65.154,silver_3
7066,0.667,21.418,9.091,1.671,65.219,7.43,256.199,0.179,14,70.726,platinum_2
7072,0.581,6.574,4.944,1.208,54.797,5.422,539.839,0.247,21,76.287,ascendant_3
7093,0.574,25.99,17.745,3.217,22.234,5.347,545.009,0.208,21,76.287,ascendant_3
7100,0.902,10.154,8.134,2.871,24.898,15.899,190.69,0.043,11,66.234,gold_2
7132,0.491,7.553,5.455,3.682,28.105,4.52,88.475,0.067,3,34.267,iron_3
7146,0.648,9.04,9.022,1.598,68.585,1.797,106.937,0.058,6,41.191,bronze_3
7162,0.613,15.556,14.264,2.891,36.024,5.919,140.566,0.122,7,62.625,silver_1
7167,0.714,19.491,11.673,2.991,13.742,8.422,69.311,0.155,3,34.267,iron_3
7200,0.907,8.125,12.516,7.028,41.058,3.491,234.686,0.107,13,67.578,platinum_1
7201,0.735,9.588,13.142,5.412,49.68,3.247,220.605,0.134,12,61.989,gold_3
7283,0.503,18.049,23.679,6.584,71.877,3.448,238.522,0.088,12,61.989,gold_3
7313,0.826,8.939,18.039,3.594,19.832,3.137,34.629,0.018,1,27.161,iron_1
7354,0.243,15.869,4.471,1.059,12.715,2.867,93.388,0.048,5,63.014,bronze_2
7365,0.904,8.126,17.556,2.984,53.18,4.088,188.788,0.039,10,61.994,gold_1
7382,0.559,12.553,11.596,3.546,43.007,0.84,332.775,0.164,16,72.558,diamond_1
7389,0.402,7.868,14.118,2.772,70.659,0.374,272.382,0.144,14,70.726,platinum_2
7453,0.784,2.913,28.282,11.301,46.669,0.587,445.606,0.229,20,77.453,ascendant_2
7499,0.683,15.53,10.013,3.615,42.462,6.846,188.83,0.101,10,61.994,gold_1
7518,0.81,14.19,10.168,4.76,39.04,5.712,152.04,0.093,9,65.154,silver_3
7537,0.846,29.549,13.455,5.66,3.857,4.681,136.442,0.156,7,62.625,silver_1
7546,0.37,9.979,5.359,2.36,15.289,11.71,198.317,0.148,11,66.234,gold_2
7581,0.648,4.841,10.125,2.111,38.004,2.848,131.619,0.085,7,62.625,silver_1
7598,0.72,9.945,9.36,7.392,50.61,2.232,251.55,0.118,13,67.578,platinum_1
7649,0.529,2.308,22.457,5.363,25.561,1.893,125.624,0.498,7,62.625,silver_1
7667,0.596,9.205,13.744,2.845,26.15,9.82,94.793,0.081,5,63.014,bronze_2
7690,0.437,26.765,11.053,1.153,34.403,23.502,340.0,0.026,18,77.2,diamond_3
7763,0.657,12.271,8.555,2.726,93.251,1.536,173.668,0.044,8,57.784,silver_2
7778,0.677,12.753,11.408,5.376,37.924,2.784,156.62,0.118,9,65.154,silver_3
7782,0.54,8.767,9.225,5.362,49.696,2.056,360.187,0.154,18,77.2,diamond_3
7798,0.747,8.804,15.36,3.5,45.318,1.612,261.12,0.12,14,70.726,platinum_2
7842,0.761,7.475,6.381,6.943,13.096,3.861,169.892,0.094,9,65.154,silver_3
7881,0.934,11.936,18.224,4.329,55.524,6.092,324.938,0.111,17,74.823,diamond_2
7904,0.342,8.706,17.362,3.952,35.867,4.863,91.021,0.14,5,63.014,bronze_2
7909,0.239,6.843,5.97,4.828,31.894,2.726,42.191,0.195,1,27.161,iron_1
8003,0.593,8.266,14.35,6.577,37.866,1.968,128.666,0.171,7,62.625,silver_1
8008,0.486,9.831,13.285,7.962,29.735,1.487,244.844,0.276,13,67.578,platinum_1
8038,0.823,13.806,10.648,3.325,41.76,5.418,212.55,0.21,11,66.234,gold_2
8121,0.984,12.212,12.224,2.796,54.249,2.308,159.318,0.069,8,57.784,silver_2
8129,0.605,12.539,6.348,3.282,27.698,0.742,345.228,0.05,18,77.2,diamond_3
8133,0.827,6.341,5.979,2.451,21.919,0.663,279.013,0.031,15,75.409,platinum_3
8153,0.073,6.476,3.281,2.898,53.609,2.042,202.123,0.105,10,61.994,gold_1
8182,0.665,7.518,12.377,10.42,59.337,3.615,163.16,0.13,8,57.784,silver_2
8202,0.717,17.359,12.585,2.658,42.481,10.507,190.181,0.125,10,61.994,gold_1
8207,0.943,17.877,22.568,2.6,34.65,11.322,246.178,0.147,13,67.578,platinum_1
8234,0.595,12.28,1.362,10.41,16.586,0.51,95.441,0.179,5,63.014,bronze_2
8246,0.83,5.752,6.826,3.266,15.912,2.366,90.436,0.045,5,63.014,bronze_2
8288,0.693,17.656,6.48,3.703,54.842,5.209,181.978,0.169,10,61.994,gold_1
8293,0.446,12.718,4.24,1.737,23.638,2.737,171.795,0.062,9,65.154,silver_3
8399,0.571,14.384,18.729,6.589,65.63,0.822,171.675,0.066,8,57.784,silver_2
8404,0.502,18.732,21.825,7.569,91.931,0.544,180.297,0.043,10,61.994,gold_1
8407,0.549,14.934,25.23,6.53,44.158,0.468,109.355,0.032,5,63.014,bronze_2
8414,0.703,13.849,43.45,9.728,30.355,0.653,82.009,0.012,3,34.267,iron_3
8441,0.878,19.755,9.983,2.107,36.962,3.089,134.927,0.218,7,62.625,silver_1
8452,0.763,30.372,14.582,0.876,61.512,4.939,54.442,0.176,2,43.59,iron_2
8478,0.713,8.424,11.468,5.65,55.99,11.374,201.14,0.119,10,61.994,gold_1
8488,0.92,11.35,17.292,7.466,45.054,5.959,78.187,0.161,3,34.267,iron_3
8606,0.598,34.806,38.691,2.837,50.135,20.338,261.333,0.09,14,70.726,platinum_2
8671,0.267,24.016,13.627,1.664,21.164,1.576,300.284,0.079,16,72.558,diamond_1
8675,0.329,22.7,9.039,1.683,15.374,2.497,118.372,0.133,5,63.014,bronze_2
8706,0.548,9.093,10.848,2.9,52.667,11.318,237.331,0.145,12,61.989,gold_3
8717,0.573,7.305,7.683,2.87,27.329,9.861,465.213,0.231,20,77.453,ascendant_2
8778,0.783,12.656,11.07,4.092,52.164,2.943,233.12,0.115,12,61.989,gold_3
8868,0.969,9.399,9.431,1.351,22.504,11.253,423.258,0.074,19,71.37,ascendant_1
8909,0.567,2.337,6.469,4.522,23.741,7.178,256.625,0.065,13,67.578,platinum_1
8912,0.688,1.68,8.296,4.29,15.641,5.137,499.951,0.069,21,76.287,ascendant_3
8957,0.589,2.197,10.035,2.932,17.143,0.817,92.519,0.058,5,63.014,bronze_2
8986,0.499,6.889,7.111,2.926,32.835,3.098,737.654,0.117,24,92.798,immortal_3
8991,0.849,6.352,7.754,4.542,32.806,5.082,924.484,0.126,25,92.319,radiant
9017,0.409,5.904,2.713,1.651,59.035,2.64,46.768,0.076,2,43.59,iron_2
9045,0.943,8.557,7.137,5.375,78.601,13.964,402.403,0.072,19,71.37,ascendant_1
9049,0.844,6.585,10.334,8.236,94.454,9.829,451.032,0.064,20,77.453,ascendant_2
9133,0.154,2.141,10.029,13.062,80.315,25.484,146.562,0.039,8,57.784,silver_2
9165,0.827,9.547,14.384,4.828,36.05,1.772,404.107,0.087,19,71.37,ascendant_1
9194,0.579,21.714,6.094,7.131,46.661,0.591,84.366,0.235,4,53.409,bronze_1
